OHLCData{timestamp=2020-07-27T04:00, open=95.570, high=103.130, low=94.480, close=102.840, volume=1297380.0}
OHLCData{timestamp=2020-07-28T04:00, open=100.050, high=104.290, low=98.500, close=98.620, volume=1162290.0}
OHLCData{timestamp=2020-07-29T04:00, open=99.870, high=102.220, low=99.480, close=99.950, volume=743835.0}
OHLCData{timestamp=2020-07-30T04:00, open=98.800, high=100.880, low=98.230, close=99.170, volume=741510.0}
OHLCData{timestamp=2020-07-31T04:00, open=100.430, high=100.780, low=94.740, close=95.440, volume=1918410.0}
OHLCData{timestamp=2020-08-03T04:00, open=96.680, high=100.560, low=96.310, close=99.010, volume=831015.0}
OHLCData{timestamp=2020-08-04T04:00, open=99.790, high=101.810, low=97.620, close=99.170, volume=1207995.0}
OHLCData{timestamp=2020-08-05T04:00, open=99.590, high=99.810, low=98.010, close=99.090, volume=709470.0}
OHLCData{timestamp=2020-08-06T04:00, open=99.220, high=101.110, low=98.530, close=99.420, volume=711300.0}
OHLCData{timestamp=2020-08-07T04:00, open=99.880, high=99.960, low=94.370, close=96.900, volume=1431885.0}
OHLCData{timestamp=2020-08-10T04:00, open=96.350, high=97.050, low=92.550, close=94.650, volume=870645.0}
OHLCData{timestamp=2020-08-11T04:00, open=92.890, high=94.580, low=91.250, close=91.540, volume=698700.0}
OHLCData{timestamp=2020-08-12T04:00, open=97.860, high=105.660, low=95.880, close=103.620, volume=2240580.0}
OHLCData{timestamp=2020-08-13T04:00, open=107.590, high=110.020, low=104.680, close=108.070, volume=1534710.0}
OHLCData{timestamp=2020-08-14T04:00, open=110.870, high=111.170, low=108.550, close=110.050, volume=1014165.0}
OHLCData{timestamp=2020-08-17T04:00, open=111.540, high=123.020, low=111.540, close=122.300, volume=2115645.0}
OHLCData{timestamp=2020-08-18T04:00, open=126.470, high=128.240, low=123.220, close=125.940, volume=2176020.0}
OHLCData{timestamp=2020-08-19T04:00, open=124.040, high=127.400, low=123.010, close=125.260, volume=1174830.0}
OHLCData{timestamp=2020-08-20T04:00, open=124.000, high=134.790, low=124.000, close=133.400, volume=2719290.0}
OHLCData{timestamp=2020-08-21T04:00, open=136.340, high=139.700, low=135.170, close=136.630, volume=4016235.0}
OHLCData{timestamp=2020-08-24T04:00, open=141.800, high=141.860, low=129.260, close=134.330, volume=2169315.0}
OHLCData{timestamp=2020-08-25T04:00, open=131.550, high=135.080, low=131.270, close=134.960, volume=1294455.0}
OHLCData{timestamp=2020-08-26T04:00, open=137.400, high=144.370, low=137.090, close=143.440, volume=1897770.0}
OHLCData{timestamp=2020-08-27T04:00, open=145.500, high=152.920, low=142.880, close=149.190, volume=2856045.0}
OHLCData{timestamp=2020-08-28T04:00, open=152.950, high=154.560, low=145.790, close=147.700, volume=2704605.0}
OHLCData{timestamp=2020-08-31T04:00, open=148.230, high=166.670, low=146.750, close=166.240, volume=4292739.0}
OHLCData{timestamp=2020-09-01T04:00, open=167.400, high=167.400, low=157.000, close=158.350, volume=3564336.0}
OHLCData{timestamp=2020-09-02T04:00, open=159.590, high=159.590, low=135.070, close=149.140, volume=2630772.0}
OHLCData{timestamp=2020-09-03T04:00, open=135.830, high=143.760, low=134.010, close=135.710, volume=2338173.0}
OHLCData{timestamp=2020-09-04T04:00, open=134.220, high=142.550, low=124.180, close=139.460, volume=3395826.0}
OHLCData{timestamp=2020-09-08T04:00, open=118.490, high=122.790, low=110.000, close=110.030, volume=3906549.0}
OHLCData{timestamp=2020-09-09T04:00, open=119.130, high=122.950, low=113.860, close=122.030, volume=2043654.0}
OHLCData{timestamp=2020-09-10T04:00, open=128.860, high=132.910, low=120.260, close=123.730, volume=1842885.0}
OHLCData{timestamp=2020-09-11T04:00, open=127.320, high=127.350, low=120.200, close=124.280, volume=1060272.0}
OHLCData{timestamp=2020-09-14T04:00, open=127.050, high=139.950, low=124.540, close=139.880, volume=1970478.0}
OHLCData{timestamp=2020-09-15T04:00, open=145.610, high=153.960, low=143.620, close=150.090, volume=2034762.0}
OHLCData{timestamp=2020-09-16T04:00, open=146.420, high=152.540, low=145.330, close=147.350, volume=863394.0}
OHLCData{timestamp=2020-09-17T04:00, open=138.400, high=145.870, low=136.350, close=141.050, volume=1360299.0}
OHLCData{timestamp=2020-09-18T04:00, open=149.280, high=150.200, low=143.090, close=147.230, volume=1408974.0}
OHLCData{timestamp=2020-09-21T04:00, open=150.950, high=151.840, low=135.860, close=149.810, volume=1544499.0}
OHLCData{timestamp=2020-09-22T04:00, open=143.070, high=145.920, low=139.280, close=141.310, volume=867645.0}
OHLCData{timestamp=2020-09-23T04:00, open=135.170, high=137.260, low=125.340, close=126.670, volume=1745601.0}
OHLCData{timestamp=2020-09-24T04:00, open=121.210, high=133.090, low=117.210, close=129.200, volume=1749579.0}
OHLCData{timestamp=2020-09-25T04:00, open=131.060, high=136.190, low=130.550, close=135.760, volume=953487.0}
OHLCData{timestamp=2020-09-28T04:00, open=141.590, high=142.590, low=138.570, close=140.320, volume=813231.0}
OHLCData{timestamp=2020-09-29T04:00, open=138.670, high=142.730, low=137.250, close=139.660, volume=545511.0}
OHLCData{timestamp=2020-09-30T04:00, open=140.440, high=144.480, low=140.200, close=143.100, volume=815259.0}
OHLCData{timestamp=2020-10-01T04:00, open=146.950, high=149.620, low=144.850, close=149.310, volume=4246467.0}
OHLCData{timestamp=2020-10-02T04:00, open=140.390, high=146.320, low=138.330, close=138.330, volume=5462112.0}
OHLCData{timestamp=2020-10-05T04:00, open=140.960, high=144.540, low=139.780, close=141.820, volume=3733431.0}
OHLCData{timestamp=2020-10-06T04:00, open=141.170, high=142.910, low=135.380, close=137.970, volume=4628223.0}
OHLCData{timestamp=2020-10-07T04:00, open=140.030, high=143.290, low=137.970, close=141.740, volume=3554133.0}
OHLCData{timestamp=2020-10-08T04:00, open=146.230, high=146.270, low=141.770, close=141.960, volume=3487551.0}
OHLCData{timestamp=2020-10-09T04:00, open=143.430, high=144.850, low=142.190, close=144.630, volume=2493735.0}
OHLCData{timestamp=2020-10-12T04:00, open=147.270, high=149.560, low=146.190, close=147.360, volume=4234353.0}
OHLCData{timestamp=2020-10-13T04:00, open=147.860, high=149.630, low=145.580, close=148.940, volume=4144455.0}
OHLCData{timestamp=2020-10-14T04:00, open=149.930, high=155.260, low=149.130, close=153.770, volume=5925555.0}
OHLCData{timestamp=2020-10-15T04:00, open=150.100, high=152.140, low=147.510, close=149.650, volume=3901548.0}
OHLCData{timestamp=2020-10-16T04:00, open=151.400, high=151.940, low=146.280, close=146.580, volume=3213279.0}
OHLCData{timestamp=2020-10-19T04:00, open=148.800, high=148.880, low=142.970, close=143.620, volume=6046200.0}
OHLCData{timestamp=2020-10-20T04:00, open=143.870, high=143.870, low=139.700, close=140.610, volume=3801708.0}
OHLCData{timestamp=2020-10-21T04:00, open=140.860, high=144.320, low=140.430, close=140.750, volume=3072645.0}
OHLCData{timestamp=2020-10-22T04:00, open=147.300, high=148.330, low=141.530, close=141.990, volume=4402245.0}
OHLCData{timestamp=2020-10-23T04:00, open=140.610, high=140.910, low=135.800, close=140.140, volume=3406197.0}
OHLCData{timestamp=2020-10-26T04:00, open=137.170, high=141.900, low=136.670, close=140.130, volume=888504.0}
OHLCData{timestamp=2020-10-27T04:00, open=141.300, high=143.480, low=140.170, close=141.540, volume=597762.0}
OHLCData{timestamp=2020-10-28T04:00, open=138.510, high=139.470, low=135.340, close=135.450, volume=800010.0}
OHLCData{timestamp=2020-10-29T04:00, open=136.650, high=139.350, low=135.620, close=136.990, volume=670968.0}
OHLCData{timestamp=2020-10-30T04:00, open=135.580, high=135.650, low=126.380, close=129.420, volume=1719624.0}
OHLCData{timestamp=2020-11-02T05:00, open=131.330, high=135.590, low=130.840, close=133.670, volume=822894.0}
OHLCData{timestamp=2020-11-03T05:00, open=136.650, high=142.570, low=135.620, close=141.250, volume=1096494.0}
OHLCData{timestamp=2020-11-04T05:00, open=143.660, high=145.090, low=139.110, close=140.070, volume=711774.0}
OHLCData{timestamp=2020-11-05T05:00, open=142.840, high=146.670, low=141.570, close=146.020, volume=555192.0}
OHLCData{timestamp=2020-11-06T05:00, open=145.350, high=145.510, low=141.580, close=143.300, volume=775134.0}
OHLCData{timestamp=2020-11-09T05:00, open=146.520, high=150.780, low=140.390, close=140.390, volume=1234848.0}
OHLCData{timestamp=2020-11-10T05:00, open=140.030, high=140.030, low=132.020, close=136.870, volume=1104861.0}
OHLCData{timestamp=2020-11-11T05:00, open=138.850, high=139.530, low=137.030, close=138.980, volume=630165.0}
OHLCData{timestamp=2020-11-12T05:00, open=138.370, high=141.000, low=136.520, close=137.300, volume=502269.0}
OHLCData{timestamp=2020-11-13T05:00, open=136.930, high=137.480, low=133.930, close=136.150, volume=768231.0}
OHLCData{timestamp=2020-11-16T05:00, open=136.740, high=137.430, low=134.740, close=135.980, volume=1321926.0}
OHLCData{timestamp=2020-11-17T05:00, open=153.450, high=153.920, low=144.460, close=147.170, volume=2080449.0}
OHLCData{timestamp=2020-11-18T05:00, open=149.360, high=165.290, low=147.960, close=162.210, volume=2051127.0}
OHLCData{timestamp=2020-11-19T05:00, open=164.010, high=169.470, low=162.520, close=166.400, volume=1775145.0}
OHLCData{timestamp=2020-11-20T05:00, open=166.000, high=167.330, low=163.030, close=163.040, volume=867474.0}
OHLCData{timestamp=2020-11-23T05:00, open=167.770, high=175.280, low=167.360, close=173.830, volume=1103937.0}
OHLCData{timestamp=2020-11-24T05:00, open=180.230, high=186.650, low=175.470, close=185.220, volume=1612686.0}
OHLCData{timestamp=2020-11-25T05:00, open=183.360, high=191.330, low=181.890, close=191.330, volume=983376.0}
OHLCData{timestamp=2020-11-27T05:00, open=193.780, high=199.540, low=192.850, close=195.180, volume=986748.0}
